Word,Antonym Level 1,Antonym Level 2,Antonym Level 3,Antonym Level 4
impediment,catalyst,,,
impel,,,,
imitate,originate,,,
implacable,,,,
implode,,,,
impoundment ,,,,
impetuous,,,,
implore,,,,
importune ,,,,
imposing,,,,
impregnable,,,,
impressionable,,,,
impudence,courtesy,,,
impugn,,,,
impulsive,,,,
impunity,,,,
impute,,,,
inane,meaningful,,,
inadvertent,premeditated,,,
inaugural,terminal,,,
incapacitate,invigorate,,,
incarceration,liberation,,,
inception,conclusion,,,
incessant,discontinuous,,,
incidental,,,,
incipient,,,,
inclement,,,,
incurious,,,,
indubitably,,,,
ineptitude,,,,
iniquitous,righteous,,,
incremental,"sudden, abrupt",,,
incoherence,,,,
incongruous,concordant,,,
inconsequential ,important,,,
incorrigible,curable,,,
incredulous,,,,
incumbent,,,,
indolent ,industrious,,,
indecorous,,,,
indent,,,,
indifference,,,,
indigent,,,,
indigenous,,,,
indignant,,,,
indomitable,,,,
indurate,merciful,,,
industrious,,,,
inebriated,,,,
ineffable,,,,
ineffectual ,,,,
inevitable,,,,
inexorable,,,,
inextricable,,,,
inference,,,,
infernal,,,,
inflict,,,,
infraction,observance,,,
infructuous,,,,
ingratiate,,,,
inimical,,,,
injunction,,,,
inkling,,,,
innocuous,injurious,,,
innuendo,,,,
inoculate,,,,
insanity,,,,
insouciant,,,,
insinuate,,,,
insipid,,,,
insist,,,,
insistent,,,,
inspire,,,,
insubordination,,,,
insult,,,,
insurrection,,,,
intend,,,,
intensive,,,,
intercept,,,,
intermission,,,,
intermittent,,,,
internment,,,,
internecine,,,,
interplay,,,,
interstice,,,,
Interregnum,,,,
interval,,,,
intimate,,,,
intransigence,,,,
intrepid,chickenhearted,,,
intrigue,,,,
invalidate,,,,
invective,,,,
inveterate,,,,
invidious,,,,
invoke,,,,
irascible,,,,
irate,,,,
irk,,,,
irksome,,,,
irradiate,,,,
irritate,,,,
irritant,,,,
irrigation,,,,
itinerant,,,,
jade,enthrall,,,
jejune,,,,
jettison,,,,
jiffy,lifetime,,,
jinx,,,,
jittery,,,,
jocular,,,,
jocund,,,,
jolt,,,,
jovial,,,,
juggernaut,,,,
juncture,,,,
junk,,,,
kerflooey,,,,
kosher,,,,
kowtow,,,,
labuor,,,,
labyrinth,,,,
laceration,,,,
lachrymose,,,,
laconic,,,,
lackadaisical,energetic,,,
lacklustre,,,,
lacunae,,,,
laggard,,scurrying,,scootting
lament,exult,,,
languid ,,,,
languish,convalesce,,,
largesse,,,,
lascivious,,,,
latent,,,,
latitude,,,,
,,,,
lazy,,,,
leapfrog,,,,
legions,,,,
leitmotif,,,,
lenitive,,,,
levitate,,,,
levity,,,,
lewd,,,,
liasion,,,,
libertine,,,,
licentious,,,,
lifeblood,,,,
liken,,,,
liquidate,,,,
lithe,,,,
lofty,low,,,
loquacious,,,,
louche,,,,
lousy,,,,
lucid,,,,
lucrative,,,,
ludicrous,,,,
lugubrious,,,,cheerful
lure,,,,
lurk,,,,
luscious,,,,distasteful
luxuriant,,,,
machinate,,,,
maelstrom,,,,
magnanimous,,,,
malapropos,,,,
maneuver,,,,
maiden,,,,
malady,,,,
malaise,,,,
malice,,,,
malinger,,,,
manacle,,,,
manifestation,,,,
manifold,,,,
manoeuvre,,,,
manse,,,,
manumit,enchain,,,
maraud,,,,
maroon,,,,
martinent,,,,
masquerade,,,,
materialism,,,,
maudlin,unsentimental,,,
maul,,,,
mayhem,,,,
meander,,,,
meddle,,,,
mediate,,,,
meek,haughty,,,
melancholy,"blissfulness, ecstacy, elatedness",,,
melee,,,,
mellifluous,,,,
mellow,,,,
meltdown,,,,
memoir,,,,
memento,,,,
menacing,,,,
menagerie,,,,
mendacious,"honest, truthful",,,
mercurial,,,,
metamorphosis,,,,
meteoric,,,,
meticulous,careless,,,
mingle,,,,
miraculous,,,,
mirage,,,,
mirth,,,,
misnadry,,,,
misanthrope,,,,
mischief,,,,
miscreant,,,,
misogyny,,,,
misplaced,,,,
mitigate,,,,
modicum,,,,
mollycoddle,mistreat,,,
momentous,,,,
monitor,,,,
monotonous,,,,
monstrous,,,,
monumental,,,,
moribund,,,,
morph,,,,
mortal,,,,
mull,,,,
multitude,,,,
mundane,,,,
muster,,,,
myriad,,,,
nab,,,,
nadir,pinnacle,,,
naïve,,,,
nasty,,,,
nefarious ,,,,
nevertheless,,,,
nitpicking,,,,
nosedive,,,,
nostalgia,,,,
,,,,
nudge,,,,
obfuscate,illuminate,,,
obliterate,,,,
obstacle,,,,
obstreperous,,,,
obverse,,,,
occasion,,,,
occult,bare,,,
occupy,,,,
odds,,,,
odious,,,,innocuous
oleaginous,,,,
onerous,,,,
onus,,,,
opportune,,,,
opprobrium,,,,
,,,,
oracle,,,,
orchestrate,,,,
ordain,,,,
orison,,,,
osculate,,,,
ostentatious,,,,
ostracise,,,,
ouster,,,,
outgrowth,,,,
outrage,,,,
overbearing,,,,
overdrive,,,,
overdue,,,,
overheard,,,,
overlay,,,,
overture,,,,
overwhelm,,,,
pachydermatous,,,,
painstaking,careless,,,
pale,bright,,,
palliative,,,,
pandemonium,,,,
panorama,,,,
paradigm,,,,
paradox,,,,
paragon,,,,
paraphernalia,,,,
parley,,,,
parochial,,,,
parsimonious,,,,
partake,,,,
parvenu,,,,
patois,,,,
paucity,abundance,,,
pauper,,,,
peccadillo,,,,
peer,,,,
peevish,,,,
pejorative,,,,
pelt,,,,
penchant,,,,
pensive,,,,
,,,,
perch,,,,
peregrination ,,,,
perfunctory,interested,,,
peril,,,,
peripheral,main,,,
perjury,,,,
permit,,,,
pernicious,,,,
persnickety,,,,
perspicacity,,,,
perspicuous,,,,
pertinacious,,,,
perturb ,calm,,,
pervasive,,,,
pester,,,,
persuade,dissuade,,,
petrify,,,,
petulant,,,,
phantasmagoria,,,,
philistine,,,,
phlegmatic ,impassioned,,,
pidgin,,,,
piecemeal,sudden,,,
piggyback,,,,
pillage,,,,
pioneer,,,,
piquant,zestless,,,
pitfall,,,,
pithy,,,,
pivotal,,,,
placid,,,,
placate,,,,
plaint,,,,
platitude,,,,
plausible,,,,
plenitude,,,,
plentiful,,,,
plethora,,,,
pliable,rigid,,,
plummet,soar,,,
plunder,,,,
pococurante,,,,
poignant,,,,
ponder,,,,
possible,,,,
posterity,,,,
pound,,,,
pragmatic,,,,
praise,damn,,,
precedent,,,,
precept,,,,
precipitate,,,,
precipitous,,,,
predestined,,,,
predicament,,,,
predilection,,,,
preempt,,,,
preface,,,,
prelude,,,,
premature,,,,
premonition,,,,
premonitory,,,,
preoccupation,,,,
prerogative,,,,
prescience,"shortsightedness, myopia",,,
preside,,,,
presume,,,,
pristine,,,,
privy,,,,
proclivity,,,,
procrastinate,,,,
procure,,,,
prodigy,,,,
profane,,,,
profligacy,,,,
profundity,,,,
progenitor,,,,
prognosticate,,,,
progress,retreat,,,
promenade,,,,
promise,,,,
propel,,,,
prophylactic,,,,
propinquity,,,,
proposition,,,,
prosaic,,,,
prosecute,,,,
prosletyze,,,,
protean,,,,
protract,curtail,,,
provenance,,,,
providential,,,,
proximate,,,,
prudent,,,,
prune,,,,
prying,,,,
pudgy,skinny,,,
puerile,,,,
pugilist,,,,
pulchritude,,,,
pullulate,,,,
pulsate,,,,
punctilious,,,,
pungent,,,,
purloin,,,,
pusillanimous,courageous,,,
putrid,,,,
quandary,,,,
quarantine,,,,
quest,,,,
quibble,,,,
quiddities,,,,
quietude,,commotion,,pandemonium
quintessential,,,,
quirk,,,,
,,,,
quiver,,,,
,,,,
quixotic,,,,
quizzical,,,,
quotidian,infrequent,,,
raconteur,,,,
raise,drop,,,
ravage,,,,
raiment,,,,
rampant,,,,
raucous,,,,
ravine,,,,
reassurance,,,,
recalcitrant,,,,
recast,,,,
recant,,,,
recapitulate,,,,
recidivism,,,,
reciprocate,,,,
recognise,,,,
reconcile,disharmonise,,,
rectitude,,immorality,,villainy
recumbent,,,,
redolent,,,,
redundant,,,,
refulgent,dark,,,
reiterate,,,,
rejig,,,,
reluctant,,,,
remote,nearby,,,
rendezvous,,,,
renege,,,,
reprisal,,,,
reproach,,,,
reprobate,,,,
reprove,,,,
repudiate,acknowledge,,,
repugnant,concordant,,,
resolute,,,,
resplendent,,,,
reticent,,,,
retinue,,,,
revamp,,,,
reverberate,,,,
revive,,,,
rife,,,,
rift,,,,
ripe,,,,
rise,,,,
rotunda,,,,
ruefully,,,,
rummage,,,,
rustle,,,,
ruthless,compassionate,,,
sabbatical,,,,
sabotage,,,,
sagacity,,,,
salacious,,,,
salubrious,,,,
salvo,,,,
sanctimonious,,,,
sangfroid,perturbation,,,
sanguine,doubtful,,,
sapience,,,,
sardine,,,,
saturnine,,,,
savour,,,,
scalded,,,,
scamper,,,,
scholastic,,,,
scourge,,,,
scuttle,,,,
seamless,,,,
searing,"frigid, arctic",,,
sedition,,,,
sedulous,,,,
seldom,,,,
self-effacing,,,,
senile,,,,
sensuous,,,,
serene,,,,
serpentine,,,,
servile,,,,
shallow,deep,,,
shambles,,,,
shibboleth,,,,
shortchange,,,,
shrill,,,,
shrink,,,,
shudder,,,,
shun,,,,
schadenfreude,,,,
shortfall,,,,
sick,,,,
siesta,,,,
sinister,,,,
sinuous,straight,,,
skimp,,,,
skive,,,,
skyscraper,,,,
slain,,,,
slouch,,,,
sly,,,,
slugfest,,,,
sluggish ,expeditious,,,
slumber,wakefulness,,,
smouldering,,,,
snap,,,,
snarl,,,,
soiree,,,,
solace,distress,,,
sole,nonexclusive,,,
solicit,,,,
solitude,,,,
sombre,bright,,,
somersault,,,,
sparing,profligate,,,
sparse,copious,,,
spearhead,,,,
spectre,,,,
splenetic,,,,
spontaneous,,,,
spooke,,,,
sprawling,,,,
spright,,,,
spurt,,,,
squabble,,,,
squalid,,,,
stagnate,,,,
stalemate,,,,
standpoint,,,,
stalwart,,,,
startle,,,,
statute,,,,
staunch,unfaithful,,,
steadfast,,,,
stereotype,,,,
stolid ,emotional,,,
stooge,,,,
stout,"delicate, tender, weak",,,
stowaway,,,,
stranded,,,,
stratagem,,,,
stratospheric,,,,
strenuous,,,,
strew,,,,
stupefy,,,,
stutter,,,,
stygian,illuminated,,,
suave,boorish,,,
substantiate,,,,
substratum,,,,
subterfuge,,,,
subvert,,,,
succinct,verbose,,,
succor,,,,
suffice,,,,
sulk,,,,
sully,,cleanse,,
summit,,,,
sundry,,,,
supplant,,,,
supplicant,,,,
surly,,,,
surmountable,,,,
surpass,,,,
surplus,deficit,,,
surreal,,,,
susceptible,,,,
swerve,straighten,,,
sweeping,,,,
symptomatic,,,,
synchronise,,,,
soliloquoy,,,,
soothing,,,,
soporific,,,,
stonewall,,,,
superficial,deep,profound,,
tacit,,explicit,,
taciturn,,,,
tamper,,,,
tangential,,,,
tantamount,,,,
tantrum,,,,
tardy,speeding,,,
tarnish,,,,
tawdry,,,,
taxing,effortless,,,
tchotchke,,,,
tedious,,,,
tedium,,,,
teeter,,,,
temerity,,,,
temperance,,,,
temporise,,,,
tempting,,,,
tenacious,,,,
tenebrous,illuminated,,,
tenuous,,,,
terminal,beginning,,,
testament ,,,,
tether ,,,,
textbook,,,,
threadbare,,,,
threshold,conclusion,,,
thrifty,profligate,,,
thrive,,,,
throe,,,,
thwart,encourage,,,
timid,bold,,,
titillate,,,,
torment,,,,
torpefy,,,,
torrential,,,,
touchstone,,,,
tout,,,,
traduce,,,,
tranquil,,,,
transgress,,,,
transient,perpetual,,,
transpire,,,,
trash,,,,
travail,,,,
traverse,,,,
travesty,,,,
treacherous,,,,
treason,,,,
treatise,,,,
trespass,,,,
trite,,,,
trivial ,substantial,,,
trounce,,,,
truant,,,,
truculent,,,,pacific
retaliate,pardon,,,
retreat ,advance,,,
strident,,,,
suffrage,,,,
sustenance,,,,
traction,,,,
trailblazer,,,,
transmogrify,,,,
trivial ,important,,,
troglodyte,,,,
turbulent,,,,
turncoat,,,,
turnstile,,,,
turpitude,,,,
tutelage,,,,
tyranny,,,,
ubiquitous,,,,
ulterior,,,,
ultra vires,,,,
ululate,,,,
umbrage,,,,
unabated,,,,
unassailable,,,,
unassuming,prententious,,,
unbecoming,,,,
uncanny,,,,
uncouth,genteel,,,
undermine,,,,
underpinning,,,,
underscore,,,,
unequivocally,,,,
unerring,falliable,,,
unflinching,,,,
unfazed,,,,
unflappable,,,,
unfold,,,,
unkempt,orderly,,,
unquestioning,,,,
unremitting,,,,
unruly,,,,
unscrupulous,,,,
unseemly,,approriate,,
unstinting,,,,parsimonious
unstrung,,,,
unsuspecting,,,,
untoward,favourable,,,
untrammeled,,,,
unyielding,,,,acquiescent
upbraid,,,,
uptight,,,,
usufruct,,,,
usurp,,,,
utterance,,,,
vacillate,,,,
vacuous,,full,,
vagabond,,immobile,,
vainglory,,modesty,,
valiant,,,,
valorous,,,,
vamoose,,arrive,,
vanguard,,,,
vanish,,,,
vanity,,modesty,,
vanquish,,,,
variegated,,monochromatic,,
vaunt,,,,
vehement,,,,
venal,,incorruptible,,
veneer,,interior,,
venerate,,,,
veracity,,,,
verbose,,,,succint
verdant,,,,barren
verdict,,,,
veritable,,,,
verity,,,,falsity
vermin,,,,
versatile,,,,
vestige,,,,
vicarious,,,,
vicissitude,,,,
vie,,,,
vilify,,,,
vilipend,,applaud,,exalt
vindicate,,rebut,,
virago,,,,
vital,,,,
vituperative,,,,
vivacious,,spiritless,,
vocation,,,,
volition,,,,
voluptuous,,,,
voracious,,indifferent,,
vulnerable,guarded,,,
wager,,,,
wail,rejoice,,,
wallow,,,,
wane,accumulate,burgeon,,
wanton,,compassionate,,
warp,,,,
wary,careless,,,
watershed,,,,
wayfarer,,,,
wayside,,,,
wean,,,,
welcome,,,,
wheedle,,,,
whet,,,,
whip,,,,
whirlwind,,,,
wide,slender,skinny,,
wimp,,,,
windfall,,,,
winsome,gloomy,,,
wishful,gloomy,,,
wistful,,,,
witch,,,,
wither,,,,
withold,allow,concede,,
withstand,,succumb,,capitulate
wretched,admirable,commendable,,
yardstick,,,,
yen,,,,
yokel,,,,
zeitgeist,,,,
zenith,,,,nadir
zest,,,,insipidity
